task,20250905_134427:roc_auc,20250905_134427:pr_auc,20250905_134427:brier,20250905_134427:ece,20250905_134427:f1,20250905_134427:precision,20250905_134427:recall,20250905_134427:specificity,20250905_134427:accuracy,20250905_134427:prevalence,20250905_123932:roc_auc,20250905_123932:pr_auc,20250905_123932:brier,20250905_123932:ece,20250905_123932:f1,20250905_123932:precision,20250905_123932:recall,20250905_123932:specificity,20250905_123932:accuracy,20250905_123932:prevalence,delta_roc_auc,delta_pr_auc,delta_brier,delta_ece,delta_f1,delta_precision,delta_recall,delta_specificity,delta_accuracy,delta_prevalence
mortality,0.8246163885091173,0.3677461150770284,0.08123216333880352,0.005793177993470907,0.43103448275862066,0.36681715575620766,0.522508038585209,0.8894145476049675,0.8493415276558385,0.10921861281826163,0.8260170006648907,0.38438358294712693,0.08057889225707435,0.006782419778244072,0.4292297564186965,0.3634336677814939,0.5241157556270096,0.8874433274196728,0.8477611940298507,0.10921861281826163,-0.001400612155773362,-0.01663746787009851,0.0006532710817291759,-0.000989241784773165,0.0018047263399241786,0.0033834879747137725,-0.001607717041800627,0.0019712201852947198,0.001580333625987751,0.0
prolonged_los,0.9989107416151575,0.9991649156681097,0.010183138011639873,0.0048654369489286,0.9876626668920061,0.9935396123767426,0.9818548387096774,0.9930121368150056,0.9871817383669886,0.5225636523266023,0.7951995886177319,0.7896459134913858,0.18377743719083622,0.01508101757515366,0.75458951387869,0.6702321941038352,0.863239247311828,0.5351232070614197,0.7065847234416155,0.5225636523266023,0.2037111529974256,0.20951900217672392,-0.17359429917919636,-0.01021558062622506,0.2330731530133161,0.32330741827290743,0.11861559139784938,0.45788892975358586,0.28059701492537314,0.0
readmission,0.6002145541734367,0.06268285581541735,0.0411071932288317,0.0034740486678355646,0.12332439678284182,0.07903780068728522,0.2804878048780488,0.8524499908240044,0.8277436347673398,0.04319578577699736,0.590764024725951,0.05734875552458063,0.04122352127296507,0.006519636617833986,0.1102791014295439,0.06623058053965658,0.32926829268292684,0.7904202605982749,0.7705004389815627,0.04319578577699736,0.0094505294474857,0.005334100290836724,-0.00011632804413337638,-0.0030455879499984213,0.013045295353297917,0.01280722014762864,-0.04878048780487804,0.06202973022572955,0.05724319578577708,0.0
