metric,2025-09-05 12:39:32,2025-09-05 13:44:27,delta
roc_auc,0.826,0.8246,-0.0014
pr_auc,0.3844,0.3677,-0.0166
brier,0.0806,0.0812,0.0007
ece,0.0068,0.0058,-0.001
f1,0.4292,0.431,0.0018
precision,0.3634,0.3668,0.0034
recall,0.5241,0.5225,-0.0016
specificity,0.8874,0.8894,0.002
accuracy,0.8478,0.8493,0.0016
prevalence,0.1092,0.1092,0.0
