metric,2025-09-05 12:39:32,2025-09-05 13:44:27,delta
roc_auc,0.5908,0.6002,0.0095
pr_auc,0.0573,0.0627,0.0053
brier,0.0412,0.0411,-0.0001
ece,0.0065,0.0035,-0.003
f1,0.1103,0.1233,0.013
precision,0.0662,0.079,0.0128
recall,0.3293,0.2805,-0.0488
specificity,0.7904,0.8524,0.062
accuracy,0.7705,0.8277,0.0572
prevalence,0.0432,0.0432,0.0
