metric,2025-09-05 13:44:27,2025-09-05 14:11:47,delta
roc_auc,0.6002,0.5954,-0.0048
pr_auc,0.0627,0.0601,-0.0026
brier,0.0411,0.0412,0.0
ece,0.0035,0.0055,0.002
f1,0.1233,0.1242,0.0009
precision,0.079,0.0838,0.0048
recall,0.2805,0.2398,-0.0407
specificity,0.8524,0.8816,0.0292
accuracy,0.8277,0.8539,0.0262
prevalence,0.0432,0.0432,0.0
