number,value,datetime_start,datetime_complete,duration,params_C,params_feature_select_C,params_min_recall,params_model_type,params_phenotype_clusters,params_pos_weight,params_stack_readmission,user_attrs_summary,state
25,0.6153098129439727,2025-09-12 19:07:17.845753,2025-09-12 19:14:31.339864,0 days 00:07:13.494111,0.730303662660039,0.559518302379571,,logreg,6,1.1218787214915733,0,"{'model_type': 'logreg', 'pos_weight': 1.1218787214915733, 'C': 0.730303662660039, 'min_recall': None, 'feature_select_C': 0.559518302379571, 'phenotype_clusters': 6, 'stack_readmission': 0, 'roc_auc': 0.6153098129439727, 'pr_auc': 0.06290069235467297, 'f1': 0.12010443864229765, 'precision': 0.08846153846153847, 'recall': 0.18699186991869918, 'brier': 0.04109198374354768, 'ece': 0.005691066309355925, 'threshold': 0.06568812598695223, 'run_dir': 'project/tuning/logistic_joint\\trial_25\\logreg_pw1.1218787214915733_C0.730303662660039_fs0.559518302379571_ph6'}",COMPLETE
26,0.616287839791593,2025-09-12 19:14:31.341472,2025-09-12 19:21:38.894501,0 days 00:07:07.553029,0.7592564833005366,0.5499417309140759,,logreg,6,0.5092977039143396,0,"{'model_type': 'logreg', 'pos_weight': 0.5092977039143396, 'C': 0.7592564833005366, 'min_recall': None, 'feature_select_C': 0.5499417309140759, 'phenotype_clusters': 6, 'stack_readmission': 0, 'roc_auc': 0.616287839791593, 'pr_auc': 0.06304910723773098, 'f1': 0.12812812812812813, 'precision': 0.0849933598937583, 'recall': 0.2601626016260163, 'brier': 0.04108411672761499, 'ece': 0.006291174830920386, 'threshold': 0.06376825521369477, 'run_dir': 'project/tuning/logistic_joint\\trial_26\\logreg_pw0.5092977039143396_C0.7592564833005366_fs0.5499417309140759_ph6'}",COMPLETE
27,0.6179812958893032,2025-09-12 19:21:38.896166,2025-09-12 19:28:51.188038,0 days 00:07:12.291872,0.6935849695403066,0.5921655352871544,,logreg,6,1.629596817499232,0,"{'model_type': 'logreg', 'pos_weight': 1.629596817499232, 'C': 0.6935849695403066, 'min_recall': None, 'feature_select_C': 0.5921655352871544, 'phenotype_clusters': 6, 'stack_readmission': 0, 'roc_auc': 0.6179812958893032, 'pr_auc': 0.06394606535316694, 'f1': 0.12783505154639174, 'precision': 0.0856353591160221, 'recall': 0.25203252032520324, 'brier': 0.04106460820673443, 'ece': 0.005902503495112763, 'threshold': 0.06269158157286722, 'run_dir': 'project/tuning/logistic_joint\\trial_27\\logreg_pw1.629596817499232_C0.6935849695403066_fs0.5921655352871544_ph6'}",COMPLETE
28,0.6108859386446681,2025-09-12 19:28:51.189961,2025-09-12 19:42:46.512427,0 days 00:13:55.322466,0.6828506616406809,0.9663829614131585,,logreg,0,1.7154204229652388,0,"{'model_type': 'logreg', 'pos_weight': 1.7154204229652388, 'C': 0.6828506616406809, 'min_recall': None, 'feature_select_C': 0.9663829614131585, 'phenotype_clusters': 0, 'stack_readmission': 0, 'roc_auc': 0.6108859386446681, 'pr_auc': 0.06192337204124896, 'f1': 0.11685695097380792, 'precision': 0.06999195494770716, 'recall': 0.35365853658536583, 'brier': 0.04108133765278202, 'ece': 0.006907618390032481, 'threshold': 0.05721874500808592, 'run_dir': 'project/tuning/logistic_joint\\trial_28\\logreg_pw1.7154204229652388_C0.6828506616406809_fs0.9663829614131585_ph0'}",COMPLETE
29,0.6086408037873736,2025-09-12 19:42:46.514254,2025-09-12 19:57:14.291022,0 days 00:14:27.776768,1.8365934364192176,0.9039975630864294,,logreg,4,1.3546209868975523,0,"{'model_type': 'logreg', 'pos_weight': 1.3546209868975523, 'C': 1.8365934364192176, 'min_recall': None, 'feature_select_C': 0.9039975630864294, 'phenotype_clusters': 4, 'stack_readmission': 0, 'roc_auc': 0.6086408037873736, 'pr_auc': 0.061182636769388773, 'f1': 0.11597258829731154, 'precision': 0.06662628709872805, 'recall': 0.44715447154471544, 'brier': 0.041098549276508085, 'ece': 0.00813094920799833, 'threshold': 0.0535301654012167, 'run_dir': 'project/tuning/logistic_joint\\trial_29\\logreg_pw1.3546209868975523_C1.8365934364192176_fs0.9039975630864294_ph4'}",COMPLETE
30,0.6140158483618237,2025-09-12 19:57:14.292905,2025-09-12 20:04:28.874086,0 days 00:07:14.581181,0.3513948059741508,0.6218695884361098,,logreg,6,2.34090387618211,0,"{'model_type': 'logreg', 'pos_weight': 2.34090387618211, 'C': 0.3513948059741508, 'min_recall': None, 'feature_select_C': 0.6218695884361098, 'phenotype_clusters': 6, 'stack_readmission': 0, 'roc_auc': 0.6140158483618237, 'pr_auc': 0.06337304545955545, 'f1': 0.12472647702407003, 'precision': 0.08532934131736528, 'recall': 0.23170731707317074, 'brier': 0.04107927853702511, 'ece': 0.00627201541082016, 'threshold': 0.06297036307196964, 'run_dir': 'project/tuning/logistic_joint\\trial_30\\logreg_pw2.34090387618211_C0.3513948059741508_fs0.6218695884361098_ph6'}",COMPLETE
31,0.6112458913174192,2025-09-12 20:04:28.876479,2025-09-12 20:11:14.853984,0 days 00:06:45.977505,0.831719125508676,0.5624536957903508,,logreg,6,1.0775890074612038,0,"{'model_type': 'logreg', 'pos_weight': 1.0775890074612038, 'C': 0.831719125508676, 'min_recall': None, 'feature_select_C': 0.5624536957903508, 'phenotype_clusters': 6, 'stack_readmission': 0, 'roc_auc': 0.6112458913174192, 'pr_auc': 0.0621004415467361, 'f1': 0.12127440904419322, 'precision': 0.0811554332874828, 'recall': 0.23983739837398374, 'brier': 0.04110084587369957, 'ece': 0.007987241272620935, 'threshold': 0.06278230558830102, 'run_dir': 'project/tuning/logistic_joint\\trial_31\\logreg_pw1.0775890074612038_C0.831719125508676_fs0.5624536957903508_ph6'}",COMPLETE
32,0.619452812256146,2025-09-12 20:11:14.856089,2025-09-12 20:17:46.230063,0 days 00:06:31.373974,0.6175181656334349,0.5281458118588257,,logreg,6,0.7908643529804745,0,"{'model_type': 'logreg', 'pos_weight': 0.7908643529804745, 'C': 0.6175181656334349, 'min_recall': None, 'feature_select_C': 0.5281458118588257, 'phenotype_clusters': 6, 'stack_readmission': 0, 'roc_auc': 0.619452812256146, 'pr_auc': 0.06382864004508762, 'f1': 0.12859097127222982, 'precision': 0.09690721649484536, 'recall': 0.1910569105691057, 'brier': 0.0410860154144574, 'ece': 0.007549593941022855, 'threshold': 0.06553343661424806, 'run_dir': 'project/tuning/logistic_joint\\trial_32\\logreg_pw0.7908643529804745_C0.6175181656334349_fs0.5281458118588257_ph6'}",COMPLETE
33,0.6117061831289996,2025-09-12 20:17:46.231539,2025-09-12 20:26:28.081553,0 days 00:08:41.850014,0.539634961841116,0.7321874446461474,,logreg,6,0.7731049202824612,0,"{'model_type': 'logreg', 'pos_weight': 0.7731049202824612, 'C': 0.539634961841116, 'min_recall': None, 'feature_select_C': 0.7321874446461474, 'phenotype_clusters': 6, 'stack_readmission': 0, 'roc_auc': 0.6117061831289996, 'pr_auc': 0.06170281104537766, 'f1': 0.12036108324974924, 'precision': 0.07989347536617843, 'recall': 0.24390243902439024, 'brier': 0.04108723441743664, 'ece': 0.005660945878743307, 'threshold': 0.06424976269384967, 'run_dir': 'project/tuning/logistic_joint\\trial_33\\logreg_pw0.7731049202824612_C0.539634961841116_fs0.7321874446461474_ph6'}",COMPLETE
34,0.6097165587181657,2025-09-12 20:26:28.083174,2025-09-12 20:44:15.209745,0 days 00:17:47.126571,0.5462478209007335,1.0937047756820477,,logreg,4,1.2584413943727064,1,"{'model_type': 'logreg', 'pos_weight': 1.2584413943727064, 'C': 0.5462478209007335, 'min_recall': None, 'feature_select_C': 1.0937047756820477, 'phenotype_clusters': 4, 'stack_readmission': 1, 'roc_auc': 0.6097165587181657, 'pr_auc': 0.06206655981328665, 'f1': 0.11854684512428298, 'precision': 0.07029478458049887, 'recall': 0.3780487804878049, 'brier': 0.0410908939389145, 'ece': 0.005249512805293455, 'threshold': 0.05611635966124882, 'run_dir': 'project/tuning/logistic_joint\\trial_34\\logreg_pw1.2584413943727064_C0.5462478209007335_fs1.0937047756820477_ph4_stack'}",COMPLETE
