model_type,pos_weight,C,min_recall,roc_auc,pr_auc,f1,precision,recall,brier,ece,threshold,run_dir
logreg,1.0,0.5,,0.5968276419780165,0.06042014329192618,0.11846001974333663,0.07822685788787484,0.24390243902439024,0.041145372790040644,0.005482131197189334,0.06127496058735351,project\runs\20250905_143527\tune_smoke\logreg_pw1.0_C0.5
logreg,1.0,0.5,0.15,0.5968276419780165,0.06042014329192618,0.11846001974333663,0.07822685788787484,0.24390243902439024,0.041145372790040644,0.005482131197189334,0.06127496058735351,project\runs\20250905_143527\tune_smoke\logreg_pw1.0_C0.5_r0.15
logreg,1.0,1.0,,0.5954187909469479,0.06010391502213744,0.12421052631578948,0.08380681818181818,0.23983739837398374,0.04115138553311081,0.005452363120499873,0.06211457976685655,project\runs\20250905_143527\tune_smoke\logreg_pw1.0_C1.0
logreg,1.0,1.0,0.15,0.5954187909469479,0.06010391502213744,0.12421052631578948,0.08380681818181818,0.23983739837398374,0.04115138553311081,0.005452363120499873,0.06211457976685655,project\runs\20250905_143527\tune_smoke\logreg_pw1.0_C1.0_r0.15
