target,auc_full_raw,auc_base_cal,diff_full_minus_cal,ci_95_lower,ci_95_upper,approx_p_two_sided,n_test,n_boot_effective
mortality,0.8642585409825214,0.861057802986565,0.0032007379959564375,-0.001591100439747131,0.007945082074811594,0.191904047976012,5668,2000
prolonged_los,0.8235340284575441,0.8220015983739258,0.0015324300836182525,-0.000680390111046475,0.003759898475601114,0.18490754622688654,5668,2000
readmission,0.6567690948949327,0.6382679867927414,0.0185011081021913,0.001551838928765975,0.035946806381813724,0.031984007996002,5668,2000
