metric,2025-09-05 13:44:27,2025-09-05 14:11:47,delta
roc_auc,0.8246,0.823,-0.0017
pr_auc,0.3677,0.375,0.0073
brier,0.0812,0.0811,-0.0001
ece,0.0058,0.0072,0.0014
f1,0.431,0.4346,0.0035
precision,0.3668,0.3497,-0.0172
recall,0.5225,0.574,0.0514
specificity,0.8894,0.8691,-0.0203
accuracy,0.8493,0.8369,-0.0125
prevalence,0.1092,0.1092,0.0
