task,20250905_141147:roc_auc,20250905_141147:pr_auc,20250905_141147:brier,20250905_141147:ece,20250905_141147:f1,20250905_141147:precision,20250905_141147:recall,20250905_141147:specificity,20250905_141147:accuracy,20250905_141147:prevalence,20250905_134427:roc_auc,20250905_134427:pr_auc,20250905_134427:brier,20250905_134427:ece,20250905_134427:f1,20250905_134427:precision,20250905_134427:recall,20250905_134427:specificity,20250905_134427:accuracy,20250905_134427:prevalence,delta_roc_auc,delta_pr_auc,delta_brier,delta_ece,delta_f1,delta_precision,delta_recall,delta_specificity,delta_accuracy,delta_prevalence
mortality,0.8229600247955413,0.37501952036150565,0.08109804094620389,0.007166416276734353,0.4345709068776628,0.34965719882468166,0.5739549839228296,0.8691109796964321,0.8368744512730465,0.10921861281826163,0.8246163885091173,0.3677461150770284,0.08123216333880352,0.005793177993470907,0.43103448275862066,0.36681715575620766,0.522508038585209,0.8894145476049675,0.8493415276558385,0.10921861281826163,-0.0016563637135760256,0.00727340528447723,-0.00013412239259963377,0.0013732382832634463,0.0035364241190421475,-0.017159956931526,0.05144694533762062,-0.02030356790853538,-0.012467076382791986,0.0
prolonged_los,0.800064423689133,0.7942430868980952,0.18180214325606792,0.013212147113302918,0.7601972209771403,0.6844229217110573,0.8548387096774194,0.5685913938948143,0.7181738366988587,0.5225636523266023,0.9989107416151575,0.9991649156681097,0.010183138011639873,0.0048654369489286,0.9876626668920061,0.9935396123767426,0.9818548387096774,0.9930121368150056,0.9871817383669886,0.5225636523266023,-0.19884631792602447,-0.20492182877001452,0.17161900524442805,0.008346710164374318,-0.22746544591486584,-0.30911669066568526,-0.127016129032258,-0.4244207429201913,-0.26900790166812993,0.0
readmission,0.5954187909469479,0.06010391502213744,0.04115138553311081,0.005452363120499873,0.12421052631578948,0.08380681818181818,0.23983739837398374,0.8816296568177647,0.8539069359086918,0.04319578577699736,0.6002145541734367,0.06268285581541735,0.0411071932288317,0.0034740486678355646,0.12332439678284182,0.07903780068728522,0.2804878048780488,0.8524499908240044,0.8277436347673398,0.04319578577699736,-0.004795763226488781,-0.0025789407932799158,4.419230427911425e-05,0.0019783144526643085,0.0008861295329476576,0.004769017494532957,-0.04065040650406507,0.029179665993760318,0.026163301141352013,0.0
