metric,2025-09-05 13:44:27,2025-09-05 14:11:47,delta
roc_auc,0.9989,0.8001,-0.1988
pr_auc,0.9992,0.7942,-0.2049
brier,0.0102,0.1818,0.1716
ece,0.0049,0.0132,0.0083
f1,0.9877,0.7602,-0.2275
precision,0.9935,0.6844,-0.3091
recall,0.9819,0.8548,-0.127
specificity,0.993,0.5686,-0.4244
accuracy,0.9872,0.7182,-0.269
prevalence,0.5226,0.5226,0.0
