metric,2025-09-05 12:39:32,2025-09-05 12:47:28,delta
roc_auc,0.5908,0.5798,-0.011
pr_auc,0.0573,0.0574,0.0001
brier,0.0412,0.0416,0.0003
ece,0.0065,0.0079,0.0013
f1,0.1103,0.1134,0.0032
precision,0.0662,0.0751,0.0089
recall,0.3293,0.2317,-0.0976
specificity,0.7904,0.8712,0.0807
accuracy,0.7705,0.8435,0.073
prevalence,0.0432,0.0432,0.0
