number,value,datetime_start,datetime_complete,duration,params_C,params_min_recall,params_model_type,params_pos_weight,user_attrs_summary,state
0,0.5886389984288906,2025-09-12 12:48:42.217458,2025-09-12 12:52:37.724520,0 days 00:03:55.507062,2.490907074494329,,logreg,3.7067905265328345,"{'model_type': 'logreg', 'pos_weight': 3.7067905265328345, 'C': 2.490907074494329, 'min_recall': None, 'roc_auc': 0.5886389984288906, 'pr_auc': 0.059734718495772166, 'f1': 0.11650485436893204, 'precision': 0.07929515418502203, 'recall': 0.21951219512195122, 'brier': 0.04120312646974061, 'ece': 0.00601235113546668, 'threshold': 0.060372895484895106, 'run_dir': 'project\\runs\\20250905_143527\\optuna_smoke\\trial_0\\logreg_pw3.7067905265328345_C2.490907074494329'}",COMPLETE
1,0.5962416464869364,2025-09-12 12:52:37.727349,2025-09-12 12:54:11.376162,0 days 00:01:33.648813,0.2635802845426281,,logreg,1.0377141733860524,"{'model_type': 'logreg', 'pos_weight': 1.0377141733860524, 'C': 0.2635802845426281, 'min_recall': None, 'roc_auc': 0.5962416464869364, 'pr_auc': 0.06064597476521834, 'f1': 0.12298387096774194, 'precision': 0.08176943699731903, 'recall': 0.24796747967479674, 'brier': 0.0411446894434947, 'ece': 0.00592062164661181, 'threshold': 0.061824860931231664, 'run_dir': 'project\\runs\\20250905_143527\\optuna_smoke\\trial_1\\logreg_pw1.0377141733860524_C0.2635802845426281'}",COMPLETE
2,0.5934631102596583,2025-09-12 12:54:11.378175,2025-09-12 12:55:26.742802,0 days 00:01:15.364627,0.13563728017230267,,logreg,1.7372985932648646,"{'model_type': 'logreg', 'pos_weight': 1.7372985932648646, 'C': 0.13563728017230267, 'min_recall': None, 'roc_auc': 0.5934631102596583, 'pr_auc': 0.059219777170320724, 'f1': 0.11609498680738786, 'precision': 0.07407407407407407, 'recall': 0.2682926829268293, 'brier': 0.04118890258705127, 'ece': 0.005028881618442861, 'threshold': 0.058755934719614454, 'run_dir': 'project\\runs\\20250905_143527\\optuna_smoke\\trial_2\\logreg_pw1.7372985932648646_C0.13563728017230267'}",COMPLETE
3,0.592584676534965,2025-09-12 12:55:26.744516,2025-09-12 12:59:29.418711,0 days 00:04:02.674195,4.191149421789259,,logreg,1.20322107681189,"{'model_type': 'logreg', 'pos_weight': 1.20322107681189, 'C': 4.191149421789259, 'min_recall': None, 'roc_auc': 0.592584676534965, 'pr_auc': 0.05922887120269518, 'f1': 0.11850311850311851, 'precision': 0.07960893854748603, 'recall': 0.23170731707317074, 'brier': 0.04118333008912671, 'ece': 0.0064245956289718225, 'threshold': 0.06062453610784555, 'run_dir': 'project\\runs\\20250905_143527\\optuna_smoke\\trial_3\\logreg_pw1.20322107681189_C4.191149421789259'}",COMPLETE
4,0.601072099452872,2025-09-12 12:59:29.420672,2025-09-12 13:00:35.267358,0 days 00:01:05.846686,0.08916119156368749,,logreg,0.6780395659777552,"{'model_type': 'logreg', 'pos_weight': 0.6780395659777552, 'C': 0.08916119156368749, 'min_recall': None, 'roc_auc': 0.601072099452872, 'pr_auc': 0.06034734847156273, 'f1': 0.12258953168044077, 'precision': 0.07379767827529021, 'recall': 0.3617886178861789, 'brier': 0.04114423887876476, 'ece': 0.006535755688481761, 'threshold': 0.056503161933075786, 'run_dir': 'project\\runs\\20250905_143527\\optuna_smoke\\trial_4\\logreg_pw0.6780395659777552_C0.08916119156368749'}",COMPLETE
