metric,2025-09-05 14:11:47,2025-09-05 14:35:27,delta
roc_auc,0.8001,0.8001,0.0
pr_auc,0.7942,0.7942,0.0
brier,0.1818,0.1818,0.0
ece,0.0132,0.0132,0.0
f1,0.7602,0.7602,0.0
precision,0.6844,0.6844,0.0
recall,0.8548,0.8548,0.0
specificity,0.5686,0.5686,0.0
accuracy,0.7182,0.7182,0.0
prevalence,0.5226,0.5226,0.0
