metric,2025-09-05 14:11:47,2025-09-05 14:35:27,delta
roc_auc,0.823,0.823,0.0
pr_auc,0.375,0.375,0.0
brier,0.0811,0.0811,0.0
ece,0.0072,0.0072,0.0
f1,0.4346,0.4346,0.0
precision,0.3497,0.3497,0.0
recall,0.574,0.574,0.0
specificity,0.8691,0.8691,0.0
accuracy,0.8369,0.8369,0.0
prevalence,0.1092,0.1092,0.0
