metric,2025-09-05 12:39:32,2025-09-05 12:47:28,delta
roc_auc,0.7952,0.7941,-0.0011
pr_auc,0.7896,0.7866,-0.0031
brier,0.1838,0.185,0.0013
ece,0.0151,0.028,0.0129
f1,0.7546,0.7545,-0.0001
precision,0.6702,0.6939,0.0237
recall,0.8632,0.8266,-0.0366
specificity,0.5351,0.601,0.0658
accuracy,0.7066,0.7189,0.0123
prevalence,0.5226,0.5226,0.0
