metric,2025-09-05 12:39:32,2025-09-05 12:47:28,delta
roc_auc,0.826,0.8245,-0.0016
pr_auc,0.3844,0.3802,-0.0042
brier,0.0806,0.1677,0.0871
ece,0.0068,0.235,0.2282
f1,0.4292,0.4355,0.0063
precision,0.3634,0.3686,0.0052
recall,0.5241,0.5322,0.008
specificity,0.8874,0.8882,0.0008
accuracy,0.8478,0.8493,0.0016
prevalence,0.1092,0.1092,0.0
