task,20250905_124728:roc_auc,20250905_124728:pr_auc,20250905_124728:brier,20250905_124728:ece,20250905_124728:f1,20250905_124728:precision,20250905_124728:recall,20250905_124728:specificity,20250905_124728:accuracy,20250905_124728:prevalence,20250905_123932:roc_auc,20250905_123932:pr_auc,20250905_123932:brier,20250905_123932:ece,20250905_123932:f1,20250905_123932:precision,20250905_123932:recall,20250905_123932:specificity,20250905_123932:accuracy,20250905_123932:prevalence,delta_roc_auc,delta_pr_auc,delta_brier,delta_ece,delta_f1,delta_precision,delta_recall,delta_specificity,delta_accuracy,delta_prevalence
mortality,0.8244653778309352,0.3802219459047011,0.16771580163786093,0.23495825427032857,0.4355263157894737,0.3685968819599109,0.5321543408360129,0.8882318154937907,0.8493415276558385,0.10921861281826163,0.8260170006648907,0.38438358294712693,0.08057889225707435,0.006782419778244072,0.4292297564186965,0.3634336677814939,0.5241157556270096,0.8874433274196728,0.8477611940298507,0.10921861281826163,-0.0015516228339554905,-0.004161637042425836,0.08713690938078658,0.2281758344920845,0.006296559370777222,0.0051632141784170305,0.008038585209003246,0.0007884880741179101,0.001580333625987751,0.0
prolonged_los,0.7940759124361818,0.7865669391143049,0.18503459654706275,0.028013212819165342,0.7544855083576139,0.693935119887165,0.8266129032258065,0.6009562339095256,0.7188762071992977,0.5225636523266023,0.7951995886177319,0.7896459134913858,0.18377743719083622,0.01508101757515366,0.75458951387869,0.6702321941038352,0.863239247311828,0.5351232070614197,0.7065847234416155,0.5225636523266023,-0.0011236761815500707,-0.003078974377080934,0.0012571593562265282,0.012932195244011683,-0.0001040055210761448,0.023702925783329887,-0.0366263440860215,0.06583302684810588,0.012291483757682187,0.0
readmission,0.5797841626792116,0.05743653475050123,0.04155440898177662,0.007863517617470415,0.11343283582089553,0.07509881422924901,0.23170731707317074,0.8711690218388696,0.8435469710272169,0.04319578577699736,0.590764024725951,0.05734875552458063,0.04122352127296507,0.006519636617833986,0.1102791014295439,0.06623058053965658,0.32926829268292684,0.7904202605982749,0.7705004389815627,0.04319578577699736,-0.010979862046739397,8.777922592059784e-05,0.0003308877088115461,0.0013438809996364296,0.003153734391351623,0.008868233689592428,-0.0975609756097561,0.08074876124059471,0.07304653204565414,0.0
